,question_id,correctly_answered,incorrectly_answered,not_answered,avg_marks_correct,avg_marks_incorrect,avg_marks_na,f1,f2
1240,1241,115,139,22,27.9913,15.7698,16.5067,0.0060212895975659255,0.19426756624539548
1241,1242,115,180,8,31.4174,20.0889,19.5714,0.006506494714454466,0.23081648459053009
1242,1243,253,81,9,32.6087,17.5185,18.0,0.014595150907696381,0.5490736959281444
1243,1244,146,124,29,34.0616,21.6048,17.5934,0.008686670889790834,0.3343978694064986
1244,1245,243,41,2,29.07,13.122,19.2692,0.012936729059121214,0.45074106073821363
1245,1246,243,82,3,31.0988,15.7561,20.0625,0.013438052876736304,0.5038216074959284
1246,1247,242,88,5,30.4793,20.625,18.6429,0.013306986464743048,0.4842318093900463
1247,1248,138,131,27,33.1377,25.687,22.1667,0.008025627212209245,0.3113396215868841
1248,1249,42,173,57,35.0238,25.0173,26.8462,0.0024995263566424766,0.10350159679659134
1249,1250,304,28,4,27.7401,11.4643,18.0417,0.015694079206670732,0.5217359918393637
1250,1251,192,80,9,30.375,13.5625,17.0426,0.010603543451312442,0.37285209009083115
1251,1252,215,117,1,31.4744,17.4701,13.55,0.01204173566450631,0.44512688584742377
1252,1253,180,97,12,34.8722,16.2268,23.875,0.010866740275662734,0.43402613311717886
1253,1254,162,107,25,29.5679,13.0748,20.2609,0.008779306308603083,0.2991994214049618
1254,1255,110,172,15,34.5545,20.9302,22.8125,0.006633806165040937,0.2612388540648809
1255,1256,81,154,41,30.0,21.2857,23.5462,0.0043811590039011025,0.15963807933311971
1256,1257,73,118,42,28.3836,19.9746,21.2581,0.0037584459798174347,0.1380835830088247
1257,1258,212,68,16,28.4245,18.7794,21.7432,0.011185922572642224,0.3685684225682014
1258,1259,201,59,15,35.7761,18.7797,20.5849,0.012293256053193946,0.49894565125270435
1259,1260,37,140,56,28.7027,25.5714,24.4588,0.0019516362012352388,0.06855465952582333
1260,1261,103,211,9,30.8252,22.8673,17.0577,0.005726333878195851,0.20974295576982613
1261,1262,48,200,28,35.2917,26.245,22.9432,0.0028952048977713813,0.12043804278011802
1262,1263,135,133,23,34.2741,29.6391,25.9848,0.0079369828372478,0.3245456476839114
1263,1264,68,220,20,41.5735,19.4818,18.3553,0.004612473199859815,0.21025777756469805
1264,1265,53,159,38,37.5849,21.1698,23.8583,0.0032840624334539437,0.15053538068165895
1265,1266,93,173,24,41.0,24.9075,23.6235,0.006233591309724817,0.28311728135060343
1266,1267,187,130,8,35.8396,16.6923,22.0926,0.011553565929333404,0.4633669315599526
1267,1268,80,234,15,41.9625,23.141,21.25,0.005393003859786001,0.25468809617877664
1268,1269,169,95,12,31.9231,16.6526,18.3273,0.009502302478991228,0.36510935920654647
1269,1270,145,139,11,28.669,15.4029,17.9796,0.007649692279183538,0.27139953856637794
1270,1271,67,233,12,32.806,22.3133,22.2174,0.003813820933747486,0.1557349657153109
1271,1272,92,164,32,35.0761,23.378,22.1236,0.0055944174731565495,0.22134874052229972
1272,1273,100,166,13,30.43,23.4458,20.6119,0.00551713269949216,0.19377458259228103
1273,1274,182,89,18,36.5165,17.764,20.0328,0.011318516452699426,0.4706652677281928
1274,1275,130,134,43,35.7769,18.2836,22.7339,0.008060527924399886,0.32103509128828484
1275,1276,104,176,10,22.4231,16.4205,19.2034,0.0046817646356841,0.13754169489203824
1276,1277,129,147,17,33.907,19.1429,21.5128,0.007688549439764795,0.29587049488935496
1277,1278,138,127,26,33.442,11.9764,20.4815,0.008104596289105854,0.3096775320110719
1278,1279,120,102,34,33.0917,16.7255,20.7157,0.006980413847156313,0.2655968708929187
1279,1280,67,198,23,39.2239,25.2727,22.662,0.004317890554925665,0.19393128531772028
